ensembl_id	ctrl-1	ctrl-2	ctrl-3	ctrl-4	ctrl-5	cyt-1	cyt-2	cyt-3	cyt-4	cyt-5
ENSG00000008869.7	7169	5437	3524	3359	6101	2706	6658	6511	4109	4683
ENSG00000008952.12	26271	19134	14714	14963	23361	9031	20765	23410	13184	13813
ENSG00000008988.5	28799	21290	15484	18604	31456	10615	24652	24613	16770	18795
ENSG00000009307.11	62900	45605	32867	36951	60076	29767	66246	66634	42383	44590
ENSG00000009335.13	29344	20972	16176	17980	29215	12475	25896	25798	19104	21094
ENSG00000009413.11	8857	6794	5190	5654	9208	4897	10960	10903	7097	7407
ENSG00000009694.9	0	0	0	0	2	0	1	0	0	2
ENSG00000009709.7	1	1	0	0	3	0	0	0	0	0
ENSG00000009724.12	299	188	87	233	314	116	229	274	241	243
ENSG00000009765.10	1	2	0	0	1	0	0	2	0	1
ENSG00000009780.11	1552	1090	678	829	1439	624	1474	1306	857	932
ENSG00000009790.10	535	378	264	314	455	208	428	439	298	312
ENSG00000009830.7	2545	1916	1215	1774	2893	864	1826	2113	1646	1785
ENSG00000009844.11	10157	7285	5553	5616	8856	4304	9871	10797	5692	6148
ENSG00000009950.11	25781	16876	10164	14752	22707	12978	25658	34075	23540	24342
ENSG00000009954.6	21816	17286	12736	15251	24987	8207	16281	16723	13587	14365
ENSG00000010017.9	9820	6389	4814	5518	8770	3500	7096	7719	5016	5339
ENSG00000010030.9	38	34	17	35	69	4695	9892	10954	7908	8061
ENSG00000010072.11	2466	1681	1114	1266	2121	928	1953	1899	1154	1294
ENSG00000010165.14	2939	2396	1641	2232	3623	1173	2762	2801	2322	2362
ENSG00000010219.9	14	17	11	23	35	7	12	10	16	16
ENSG00000010244.12	14046	10276	7510	9040	14446	5974	12590	14230	9147	9331
ENSG00000010256.6	15161	10890	7617	10096	16305	5986	11637	12552	9965	10322
ENSG00000010270.9	7180	4972	3704	4234	6616	2595	5732	6102	3957	4250
ENSG00000010278.7	1184	748	590	984	1559	275	492	418	666	734
ENSG00000010282.10	0	1	0	0	2	0	0	0	1	2
ENSG00000010292.8	9445	10165	7504	9784	17777	2036	2741	2441	4214	5016
ENSG00000010295.15	4357	3149	1849	3279	4842	2307	4602	5047	4168	4325
ENSG00000010310.4	10667	7209	4441	6060	9033	3732	7490	9719	7341	7381
ENSG00000010318.14	406	287	177	256	475	123	292	257	199	220
ENSG00000010319.2	18	8	11	9	18	5	6	5	8	5
ENSG00000010322.11	13971	9380	6154	8806	15148	5741	10649	12007	10170	11353
ENSG00000010327.6	34	21	14	28	61	5	17	8	15	21
ENSG00000010361.9	2589	1921	1205	1616	2698	882	1997	2180	1518	1538
ENSG00000010379.11	17	4	1	5	10	5	11	9	8	10
ENSG00000010404.13	35469	20391	15319	12906	19142	15219	28469	31159	15251	14477
ENSG00000010438.12	30	9	7	10	12	22	63	66	33	34
ENSG00000010539.7	3170	2157	1507	1329	2715	1071	2242	2180	1274	1513
ENSG00000010610.5	1	0	1	0	1	0	0	0	1	0
ENSG00000010626.10	916	688	434	445	706	426	972	913	652	636
ENSG00000010671.11	2	2	1	1	0	0	1	0	1	0
ENSG00000010704.14	304	215	176	159	253	51	194	215	103	163
ENSG00000010803.12	5512	4148	2873	4010	6353	2351	4543	4257	3813	4053
ENSG00000010810.12	6459	4520	3414	3662	5683	2800	4845	6010	4550	4663
ENSG00000010818.4	1709	1044	873	1553	2284	1755	3166	3775	2920	2505
ENSG00000010932.11	0	2	0	0	0	0	0	0	0	0
ENSG00000011007.7	8106	5988	4469	4840	8289	4035	8675	9678	5947	6656
ENSG00000011009.6	9198	6409	4328	5609	9319	3378	7671	8051	5820	6117
ENSG00000011021.17	4924	2775	1757	2507	4432	2164	4777	4870	3283	3742
ENSG00000011028.9	1	1	0	1	5	2	1	1	0	4
ENSG00000011052.16	0	0	0	0	0	0	0	0	0	0
ENSG00000011083.4	0	0	0	0	3	0	0	0	0	0
ENSG00000011105.7	3249	1835	1322	2076	3260	1523	2718	3024	2321	2346
ENSG00000011114.10	6146	4240	3132	3698	5997	2597	5372	5423	3353	3769
ENSG00000011132.7	852	604	447	642	1071	455	1067	1159	809	872
ENSG00000011143.12	1702	1351	788	1336	2152	894	2082	2412	1606	1847
ENSG00000011198.3	2351	1821	1422	1636	2570	935	2037	2315	1474	1527
ENSG00000011201.6	117	82	86	89	148	67	202	196	105	127
ENSG00000011243.12	6770	4558	2717	4493	7116	3140	5683	6084	4845	4998
ENSG00000011258.11	5002	3781	2587	3109	5573	2411	5078	5161	3232	3554
ENSG00000011260.9	4532	3256	2162	2865	4699	1729	4091	3834	2599	2959
ENSG00000011275.14	3418	2531	1765	2506	4017	2218	4473	4895	3583	3648
ENSG00000011295.11	6318	4683	3166	3948	6311	2471	4914	4921	3942	3926
ENSG00000011304.12	40561	29603	19049	29694	50101	14963	27971	29055	25394	28826
ENSG00000011332.15	518	319	235	411	576	219	296	294	324	291
ENSG00000011347.5	19340	14763	8741	13754	23185	8853	19656	17931	14832	15631
ENSG00000011376.5	5357	4292	3065	3897	6544	2814	5738	6504	5465	5742
ENSG00000011405.9	20096	13200	9992	9472	15730	9364	22274	22277	12429	13301
ENSG00000011422.7	51	42	21	60	100	28	39	35	80	83
ENSG00000011426.6	8539	8544	6576	7167	11758	1162	563	351	2111	2405
ENSG00000011451.12	7084	4519	3179	4766	7804	2871	5403	5388	4872	5251
ENSG00000011454.12	11035	7646	5327	6233	10144	4873	10988	11063	6831	7644
ENSG00000011465.12	11	7	3	5	1	11	5	3	7	2
ENSG00000011478.7	486	343	228	320	550	184	278	378	293	318
ENSG00000011485.10	12168	8529	5818	8400	13286	3699	6470	6286	6775	6950
ENSG00000011523.9	3284	2382	1724	1865	3365	1097	2413	2343	1558	1818
ENSG00000011566.9	7015	4950	3657	4518	6870	3493	6732	7384	4972	5084
ENSG00000011590.9	25	17	7	13	15	13	18	22	20	24
ENSG00000011600.7	0	0	0	0	0	0	0	0	0	0
ENSG00000011638.6	7498	3320	2361	1748	1851	3517	8044	7569	2470	2196
ENSG00000011677.7	2077	1332	1052	1311	1964	879	1390	1487	1280	1198
ENSG00000012048.15	4980	4206	3223	3386	5614	1209	1229	1008	2070	2211
ENSG00000012061.11	1675	1208	822	1063	1843	702	1521	1596	1276	1331
ENSG00000012124.10	691	502	291	306	576	481	1104	1103	602	642
ENSG00000012171.13	336	208	114	206	299	209	314	362	326	347
ENSG00000012174.7	16237	11606	8403	9551	14445	7052	16152	16927	9832	10406
ENSG00000012211.8	835	670	430	593	914	480	1240	1383	882	1045
ENSG00000012223.8	13	20	4	7	26	3	3	0	7	10
ENSG00000012232.4	7802	5309	3632	4121	7303	2572	5544	5696	3765	4338
ENSG00000012504.9	496	300	300	164	195	276	629	799	338	294
ENSG00000012660.9	34456	23968	20505	19965	31331	11860	26687	31648	17534	19132
